代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正
sh589720,科创创新药ETF国泰,2026-09-22,0.926,9.46,0.98,4.63,54.7,-14.73,0.8847,0.9166,均线纠缠偏多,0.69,572679932.35,279,0
sh589210,科创芯片设计ETF广发,2026-09-22,0.695,10.49,7.92,-27.95,42.0,-27.95,0.6595,0.7058,均线纠缠偏空,1.52,64318393.95,183,1
sh589190,科创芯片ETF华宝,2026-09-22,0.65,9.06,5.52,-25.88,51.4,-25.88,0.6226,0.6678,均线纠缠偏空,0.61,87266795.4,160,1
sh589130,科创芯片ETF易方达,2026-09-22,1.419,8.99,5.5,-27.19,49.2,-27.19,1.36,1.4668,均线纠缠偏空,0.75,182793552.85,173,0
sh589120,科创创新药ETF汇添富,2026-09-22,0.853,9.22,0.71,3.77,58.2,-12.96,0.8165,0.8456,均线纠缠偏多,0.67,121258288.65,244,0
sh589100,科创芯片ETF国泰,2026-09-22,0.922,8.98,5.37,-27.57,49.7,-27.57,0.8848,0.9536,均线纠缠偏空,0.7,43257307.95,359,1
sh589070,科创芯片设计ETF天弘,2026-09-22,1.104,11.29,8.45,-28.45,37.7,-28.45,1.0429,1.1198,均线纠缠偏空,1.29,288050514.45,162,0
sh589030,科创芯片设计ETF易方达,2026-09-22,1.178,11.03,8.07,-28.43,38.2,-28.43,1.1141,1.1949,均线纠缠偏空,1.02,101442239.7,166,0
sh589020,科创半导体设备ETF鹏华,2026-09-22,1.215,8.29,2.27,-25.76,63.4,-26.17,1.1658,1.2332,均线纠缠偏空,0.81,690468606.35,255,1
sh589010,科创人工智能ETF华夏,2026-09-22,1.44,10.6,8.03,-22.08,27.7,-22.08,1.3645,1.4616,均线纠缠偏空,0.5,55397755.55,357,0
sh588990,科创芯片ETF博时,2026-09-22,3.739,9.14,5.65,-27.4,51.8,-27.4,3.5784,3.855,均线纠缠偏空,0.71,37758035.85,510,0
sh588930,科创人工智能ETF银华,2026-09-22,1.592,10.4,7.71,-22.68,26.6,-22.68,1.5108,1.6257,均线纠缠偏空,0.62,35773514.45,411,0
sh588890,科创芯片ETF南方,2026-09-22,1.346,9.16,3.46,-28.77,49.6,-28.77,1.2904,1.4087,均线纠缠偏空,0.68,125374629.85,589,1
sh588830,科创新能源ETF鹏华,2026-09-22,1.184,4.69,-3.82,-26.37,10.2,-34.19,1.1761,1.2348,均线纠缠偏空,0.82,78820558.4,515,0
sh588810,科创芯片ETF富国,2026-09-22,1.277,8.87,5.85,-26.51,53.5,-26.51,1.2219,1.3119,均线纠缠偏空,0.64,123988557.95,414,1
sh588790,科创AIETF博时,2026-09-22,0.814,10.75,8.1,-22.18,27.5,-22.18,0.7711,0.8268,均线纠缠偏空,0.59,202503750.75,414,1
sh588780,科创芯片设计ETF国联安,2026-09-22,1.015,10.93,8.32,-28.97,42.9,-28.97,0.9601,1.0296,均线纠缠偏空,0.67,182383992.55,423,1
sh588760,科创人工智能ETF广发,2026-09-22,0.771,10.62,7.98,-22.28,27.5,-22.28,0.7304,0.7836,均线纠缠偏空,0.56,131470451.7,404,1
sh588750,科创芯片ETF汇添富,2026-09-22,2.381,8.97,5.26,-27.78,51.0,-27.78,2.2862,2.4669,均线纠缠偏空,0.77,230584266.55,423,0
sh588730,科创人工智能ETF易方达,2026-09-22,1.519,10.55,7.81,-22.3,30.1,-22.3,1.4409,1.5441,均线纠缠偏空,0.43,54929259.55,403,0
sh588710,科创半导体设备ETF华泰柏瑞,2026-09-22,1.031,8.18,2.28,-31.3,54.8,-32.29,0.9897,1.0967,均线纠缠偏空,0.88,1008321063.95,321,1
sh588700,科创医药ETF嘉实,2026-09-22,1.017,7.85,0.1,4.2,35.6,-18.9,0.9793,1.0053,均线纠缠偏多,0.54,40353425.1,658,0
sh588290,科创芯片ETF华安,2026-09-22,1.166,9.07,5.42,-25.18,55.6,-25.18,1.1179,1.1811,均线纠缠偏空,0.48,196318232.35,951,1
sh588200,科创芯片ETF嘉实,2026-09-22,1.191,9.07,5.4,-36.7,35.2,-36.7,1.142,1.2816,均线纠缠偏空,0.55,2511748011.4,951,1
sh588170,科创半导体ETF华夏,2026-09-22,0.995,7.92,1.95,-27.7,59.7,-28.78,0.9573,1.0286,均线纠缠偏空,0.92,4767561790.2,358,1
sh588160,科创新材料ETF南方,2026-09-22,1.081,4.44,1.5,-30.08,38.2,-30.62,1.0568,1.1237,均线纠缠偏空,1.06,202988105.55,951,0
sh588130,科创医药ETF华夏,2026-09-22,1.038,8.13,0.29,3.8,33.1,-20.09,0.9979,1.026,均线纠缠偏多,0.9,75980146.45,325,0
sh588110,科创成长ETF广发,2026-09-22,0.656,6.49,6.32,-19.46,62.8,-19.46,0.629,0.6353,均线纠缠偏多,0.83,52944671.1,742,1
sh588020,科创成长ETF易方达,2026-09-22,0.894,6.43,6.05,-30.26,42.0,-30.26,0.8571,0.8901,均线纠缠偏多,0.9,266891410.7,742,1
sh588010,科创新材料ETF博时,2026-09-22,1.056,4.45,1.73,-29.69,37.3,-31.16,1.0308,1.0975,均线纠缠偏空,0.69,112149662.85,951,0
sh563790,卫星ETF鹏华,2026-09-22,0.838,4.23,4.23,-20.42,11.6,-42.72,0.8214,0.8555,均线纠缠偏空,0.47,39191728.85,176,0
sh563530,卫星ETF易方达,2026-09-22,1.117,4.3,4.59,-20.1,17.5,-42.33,1.0936,1.1375,均线纠缠偏空,0.41,64140210.2,210,0
sh563380,航空航天ETF华泰柏瑞,2026-09-22,0.971,2.0,6.24,-6.63,17.5,-32.0,0.9633,0.9511,多头排列,0.56,38130607.5,215,0
sh563230,卫星ETF富国,2026-09-22,1.11,4.23,4.42,-20.6,16.1,-43.08,1.0876,1.1346,均线纠缠偏空,0.45,135911833.4,246,0
sh563020,红利低波ETF易方达,2026-09-22,1.168,-0.76,-0.93,10.08,49.8,-8.46,1.1837,1.1596,均线纠缠偏多,0.75,309925918.9,673,0
sh562950,消费电子ETF易方达,2026-09-22,1.602,7.23,5.95,-25.63,46.6,-25.63,1.5434,1.6259,均线纠缠偏空,0.95,127174905.3,1133,0
sh562930,软件ETF易方达,2026-09-22,0.706,4.44,2.17,-0.28,9.8,-34.93,0.6973,0.7113,均线纠缠偏空,0.73,52497708.5,803,0
sh562820,集成电路ETF嘉实,2026-09-22,0.99,10.37,6.45,-26.89,48.0,-26.89,0.9419,1.0104,均线纠缠偏空,0.6,30860610.95,590,1
sh562800,稀有金属ETF嘉实,2026-09-22,0.891,2.18,-4.5,-21.98,32.2,-28.2,0.9094,0.9384,空头排列,0.47,162626132.75,1210,0
sh562590,半导体设备ETF华夏,2026-09-22,1.01,6.99,1.2,-27.51,59.2,-28.48,0.9788,1.0503,均线纠缠偏空,0.67,421941275.15,714,1
sh562550,绿电ETF华夏,2026-09-22,1.125,-2.0,-0.18,0.36,13.8,-17.76,1.138,1.1397,空头排列,0.72,78839339.95,849,0
sh562510,旅游ETF华夏,2026-09-22,0.563,1.99,-1.57,1.81,7.8,-33.53,0.5729,0.5685,均线纠缠偏空,0.99,48533134.3,1147,0
sh562500,机器人ETF华夏,2026-09-22,0.934,3.09,-1.58,-18.78,9.9,-23.19,0.939,0.9874,空头排列,0.52,375909901.85,1148,0
sh561980,半导体设备ETF招商,2026-09-22,0.693,7.11,2.67,-25.96,59.2,-25.96,0.6701,0.7226,均线纠缠偏空,0.6,282341173.7,741,1
sh561910,电池ETF招商,2026-09-22,0.676,1.5,-6.76,-24.3,3.6,-32.26,0.6881,0.7296,空头排列,0.8,83089511.65,1240,0
sh561580,央企红利ETF华泰柏瑞,2026-09-22,1.258,0.48,0.08,15.2,65.1,-6.61,1.2661,1.2199,均线纠缠偏多,0.78,78946619.65,807,0
sh561560,电力ETF华泰柏瑞,2026-09-22,1.256,-1.72,0.08,0.32,15.4,-17.69,1.27,1.2715,空头排列,0.52,47120180.2,1061,0
sh561380,电网设备ETF国泰,2026-09-22,0.732,2.95,-1.35,-19.74,39.9,-25.98,0.726,0.7441,均线纠缠偏空,0.53,74161462.95,426,1
sh561360,石油ETF国泰,2026-09-22,1.482,1.02,0.68,11.09,50.2,-21.34,1.4882,1.4265,均线纠缠偏多,1.06,83086167.1,705,0
sh561330,矿业ETF国泰,2026-09-22,0.916,0.11,-5.08,-3.17,35.9,-29.32,0.9532,0.935,均线纠缠偏空,0.66,53603710.75,947,1
sh561170,绿色电力ETF富国,2026-09-22,1.135,-1.73,0.18,0.71,15.7,-17.51,1.1456,1.1462,空头排列,0.7,34695852.0,856,0
sh561160,电池ETF富国,2026-09-22,0.682,1.79,-6.83,-24.14,3.9,-31.94,0.6934,0.7353,空头排列,0.55,35252497.95,1023,0
