代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数
SOXX,iShares PHLX SOX Semiconductor ,2026-09-21,559.34,12.53,7.63,-10.48,75.4,-14.55,515.71,535.19,均线纠缠偏多,0.74,3761848659.1690063,500
SPY,标普500,2026-09-21,773.5,1.91,1.27,5.6,98.3,-0.32,762.99,755.91,多头排列,1.2,31548547467.601624,500
TAN,Invesco Solar ETF,2026-09-21,46.71,1.06,-5.29,-19.28,13.8,-36.82,47.38,51.12,空头排列,1.02,35777532.95442581,500
TDIV,First Trust NASDAQ Technology D,2026-09-21,115.63,0.21,0.88,1.61,67.4,-9.56,115.04,113.4,多头排列,2.67,22311421.468658447,500
TRFK,Pacer Data and Digital Revoluti,2026-09-21,101.99,10.45,8.9,-3.77,82.3,-8.24,94.79,95.08,均线纠缠偏多,1.02,12591791.464576721,500
TRUT,VanEck Technology TruSector ETF,2026-09-21,33.4,5.23,6.4,10.33,98.2,-0.58,31.98,31.32,多头排列,0.7,3860084.034395218,272
TTEQ,T. Rowe Price Technology ETF,2026-09-21,44.61,8.9,7.95,3.88,95.2,-1.73,41.73,41.51,多头排列,0.69,3504093.1463623047,477
TURF,T. Rowe Price Natural Resources,2026-09-21,34.55,-2.42,-4.79,11.15,80.9,-5.31,35.77,33.71,均线纠缠偏多,0.12,362527.8998374939,320
UFO,Procure Space ETF,2026-09-21,44.17,2.82,-3.81,-2.93,35.3,-34.78,43.63,45.5,均线纠缠偏空,0.38,8328358.043651581,500
URA,Global X Uranium ETF,2026-09-21,42.98,1.87,-6.71,-2.14,22.5,-30.46,44.84,43.13,均线纠缠偏空,1.05,161719660.86647034,500
URNJ,Sprott Junior Uranium Miners ET,2026-09-21,22.96,2.82,-12.03,-1.67,10.6,-43.21,24.84,23.77,均线纠缠偏空,0.93,8884826.50466919,500
URNM,Sprott Uranium Miners ETF,2026-09-21,52.0,2.71,-10.64,-2.37,13.2,-38.09,55.28,53.13,均线纠缠偏空,0.84,43683550.98520279,500
USRT,iShares Core U.S. REIT ETF,2026-09-21,63.34,-0.62,-4.93,-4.46,58.2,-8.61,64.73,66.31,空头排列,1.15,36388734.38537598,500
UTES,Virtus Reaves Utilities ETF,2026-09-21,71.51,-1.18,-3.05,-14.5,1.3,-17.01,73.82,77.24,空头排列,1.08,12730722.819633484,500
VDC,Vanguard Consumer Staples ETF,2026-09-21,222.94,-2.12,-3.8,-1.89,51.3,-7.71,228.04,229.32,空头排列,1.32,33413249.49607849,500
VDE,Vanguard Energy ETF,2026-09-21,176.11,-3.01,-1.93,15.45,86.0,-5.12,180.39,169.51,均线纠缠偏多,1.08,92006911.55960083,500
VFH,Vanguard Financials ETF,2026-09-21,136.76,-1.82,-2.81,4.39,76.4,-4.42,139.94,138.99,均线纠缠偏空,1.27,74111992.37434387,500
VGT,Vanguard Information Tech ETF,2026-09-21,125.56,5.36,6.03,8.74,99.9,-0.05,120.17,117.93,多头排列,0.87,386709000.7539749,500
VHT,Vanguard Health Care ETF,2026-09-21,317.99,0.94,-2.96,8.52,86.1,-3.49,319.21,312.06,均线纠缠偏多,0.93,64773801.13555908,500
VIS,Vanguard Industrials ETF,2026-09-21,327.12,0.37,-5.39,-8.68,58.0,-9.23,332.87,345.05,空头排列,3.03,51910079.67727661,500
VNQ,Vanguard Real Estate ETF,2026-09-21,93.81,-0.55,-4.76,-3.48,53.3,-7.07,95.76,97.58,空头排列,1.03,307606431.8465805,500
VOX,Vanguard Communication Services,2026-09-21,197.5,1.11,6.21,10.26,93.0,-0.95,189.81,187.71,多头排列,2.07,62391697.11975098,500
VPU,Vanguard Utilities ETF,2026-09-21,177.38,-1.88,-4.13,-10.49,0.0,-12.69,183.67,190.3,空头排列,2.3,63598978.088378906,500
WCLD,WisdomTree Cloud Computing Fund,2026-09-21,41.28,0.07,1.45,42.44,90.2,-4.33,40.84,37.58,多头排列,0.6,27809199.580249786,500
WQTM,WisdomTree Quantum Computing Fu,2026-09-21,32.78,5.06,-2.59,-10.07,52.6,-20.65,31.93,33.04,均线纠缠偏空,0.69,5709169.983634949,238
WTAI,WisdomTree Artificial Intellige,2026-09-21,43.91,9.67,6.63,-5.49,79.5,-9.18,41.17,41.41,均线纠缠偏多,0.32,13315186.868724823,500
XAR,State Street SPDR S&P Aerospace,2026-09-21,243.55,0.35,-10.65,-10.67,32.2,-17.88,251.5,267.96,空头排列,2.27,70193987.26585388,500
XBI,State Street SPDR S&P Biotech E,2026-09-21,158.23,0.4,-4.53,4.38,84.7,-6.68,161.25,157.96,均线纠缠偏多,1.09,1299267706.8818665,500
XHB,State Street SPDR S&P Homebuild,2026-09-21,96.96,-0.78,-8.45,-15.89,10.6,-19.3,100.29,105.53,空头排列,0.91,172923192.00302124,500
XLB,State Street Materials Select S,2026-09-21,49.71,-1.09,-6.73,-3.67,68.9,-6.95,51.63,51.4,均线纠缠偏空,0.86,567559321.4109421,500
XLC,State Street Communication Serv,2026-09-21,114.75,0.05,3.35,9.04,69.6,-3.57,112.11,110.57,多头排列,1.06,514950931.35787964,500
XLE,State Street Energy Select Sect,2026-09-21,62.46,-2.63,-1.27,16.16,87.2,-4.7,63.69,59.75,均线纠缠偏多,1.38,1964425199.5425987,500
XLF,State Street Financial Select S,2026-09-21,55.9,-1.63,-2.4,4.95,77.4,-4.2,57.1,56.62,均线纠缠偏空,1.13,1759730547.8770447,500
XLI,State Street Industrial Select ,2026-09-21,169.98,0.3,-5.44,-7.43,59.8,-8.62,173.03,178.94,空头排列,1.14,1290073532.436676,500
XLK,State Street Technology Select ,2026-09-21,194.85,5.86,6.42,5.69,95.9,-1.46,185.75,183.18,多头排列,0.92,1237927612.2935486,500
XLP,State Street Consumer Staples S,2026-09-21,81.92,-2.32,-4.11,-1.76,56.6,-7.23,83.95,84.2,空头排列,0.95,804862729.933281,500
XLRE,State Street Real Estate Select,2026-09-21,42.59,-0.4,-4.73,-3.68,54.5,-6.65,43.44,44.19,空头排列,0.96,219211018.64826202,500
XLU,State Street Utilities Select S,2026-09-21,40.66,-2.06,-4.23,-10.67,0.0,-13.03,42.14,43.7,空头排列,1.04,891950870.9870529,500
XLV,State Street Health Care Select,2026-09-21,169.01,1.14,-2.84,9.01,86.1,-3.43,169.4,165.39,均线纠缠偏多,0.87,1237161199.159317,500
XLY,State Street Consumer Discretio,2026-09-21,112.23,-0.33,-4.7,-0.77,37.8,-9.31,113.95,115.29,空头排列,0.99,653741447.983017,500
XME,State Street SPDR S&P Metals & ,2026-09-21,109.0,-1.0,-8.6,0.31,48.0,-17.83,115.73,109.93,均线纠缠偏空,0.75,185033943.34884644,500
XOP,State Street SPDR S&P Oil & Gas,2026-09-21,184.75,-4.13,-2.14,19.87,81.9,-7.12,190.07,176.17,均线纠缠偏多,1.48,569488090.5231476,500
XPH,State Street SPDR S&P Pharmaceu,2026-09-21,67.52,-0.5,-7.19,4.7,77.1,-8.77,69.72,69.21,均线纠缠偏空,1.27,13035893.26828003,500
XRT,State Street SPDR S&P Retail ET,2026-09-21,82.56,-3.26,-5.67,-5.51,38.3,-10.41,85.25,87.52,空头排列,0.72,292935192.7226639,500
XSD,State Street SPDR S&P Semicondu,2026-09-21,524.56,10.56,5.32,-12.19,65.5,-19.21,490.01,515.77,均线纠缠偏多,1.54,55305582.52655029,500
ZAP,Global X U.S. Electrification E,2026-09-21,31.07,0.19,-1.68,-10.79,43.3,-10.79,31.49,32.62,空头排列,0.87,4119891.360845566,439
