代码,名称,类别,AUM,日均量,剔除原因,剔除说明,主题
SPRX,Spear Alpha ETF,Technology,214159024.0,90690.0,illiquid,3 月日均量 9.1 万股 ≤ 10 万股,
SPTE,SP Funds S&P Global Technology ,Technology,232678448.0,54331.0,illiquid,3 月日均量 5.4 万股 ≤ 10 万股,
SPY,标普500,基准,,,,,基准·SPY
SRET,Global X SuperDividend REIT ETF,Real Estate,229155808.0,35004.0,illiquid,3 月日均量 3.5 万股 ≤ 10 万股,
SRVR,Pacer Data & Infrastructure Rea,Real Estate,350922464.0,98422.0,illiquid,3 月日均量 9.8 万股 ≤ 10 万股,
TAN,Invesco Solar ETF,Miscellaneous Sector,1054457340.0,1005511.0,,,太阳能
TCAI,Tortoise AI Infrastructure ETF,Infrastructure,230074784.0,85619.0,illiquid,3 月日均量 8.6 万股 ≤ 10 万股,
TDIV,First Trust NASDAQ Technology D,Technology,4417735200.0,159614.0,not_carrier,按股息率在科技股中二次筛选，聚合逻辑是分红政策不是技术路线,
THNQ,ROBO Global Artificial Intellig,Technology,447954656.0,24295.0,illiquid,3 月日均量 2.4 万股 ≤ 10 万股,
TNGY,Tortoise Energy ETF,Equity Energy,585841920.0,82533.0,illiquid,3 月日均量 8.3 万股 ≤ 10 万股,
TRFK,Pacer Data and Digital Revoluti,Technology,1044962180.0,162030.0,,,数据革命
TRUC,VanEck Communication Services T,Communications,63234872.0,37800.0,illiquid,规模 0.63 亿美元 ≤ 2 亿,
TRUD,VanEck Consumer Discretionary T,Consumer Cyclical,61776940.0,61295.0,illiquid,规模 0.62 亿美元 ≤ 2 亿,
TRUT,VanEck Technology TruSector ETF,Technology,205350864.0,188353.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
TTEQ,T. Rowe Price Technology ETF,Technology,447695168.0,103795.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
TURF,T. Rowe Price Natural Resources,Natural Resources,329086528.0,102204.0,dedup,同主题「自然资源」，代表为 GNR State Street SPDR S&P Global Na,自然资源
UFO,Procure Space ETF,Miscellaneous Sector,557151040.0,456876.0,dedup,同主题「太空」，代表为 ARKX ARK Space & Defense Innovation ,太空
UFOX,Defiance Space and Connective T,Technology,855106430.0,33146.0,illiquid,3 月日均量 3.3 万股 ≤ 10 万股,
UNHG,Leverage Shares 2X Long UNH Dai,Industrials,62965664.0,690839.0,asset_class,杠杆/反向产品，按杠杆倍数聚合而非按产业,
URA,Global X Uranium ETF,Natural Resources,6418248700.0,3184136.0,,,铀与核能
URNJ,Sprott Junior Uranium Miners ET,Natural Resources,395162336.0,296249.0,dedup,同主题「铀与核能」，代表为 URA Global X Uranium ETF,铀与核能
URNM,Sprott Uranium Miners ETF,Natural Resources,2204943100.0,547793.0,dedup,同主题「铀与核能」，代表为 URA Global X Uranium ETF,铀与核能
USRT,iShares Core U.S. REIT ETF,Real Estate,4570247200.0,551068.0,dedup,同主题「房地产REIT」，代表为 IYR iShares U.S. Real Estate ETF,房地产REIT
UTES,Virtus Reaves Utilities ETF,Utilities,1221149060.0,146847.0,dedup,同主题「公用事业」，代表为 XLU State Street Utilities Select S,公用事业
VAW,Vanguard Materials ETF,Natural Resources,4541496800.0,56085.0,illiquid,3 月日均量 5.6 万股 ≤ 10 万股,
VCR,Vanguard Consumer Discretion ET,Consumer Cyclical,6632338900.0,53195.0,illiquid,3 月日均量 5.3 万股 ≤ 10 万股,
VDC,Vanguard Consumer Staples ETF,Consumer Defensive,9253007400.0,157050.0,dedup,同主题「必需消费」，代表为 XLP State Street Consumer Staples S,必需消费
VDE,Vanguard Energy ETF,Equity Energy,13265611800.0,543695.0,dedup,同主题「能源」，代表为 XLE State Street Energy Select Sect,能源
VEGI,iShares MSCI Agriculture Produc,Natural Resources,155867520.0,47296.0,illiquid,规模 1.56 亿美元 ≤ 2 亿,
VFH,Vanguard Financials ETF,Financial,14771595300.0,519069.0,dedup,同主题「金融」，代表为 XLF State Street Financial Select S,金融
VGT,Vanguard Information Tech ETF,Technology,170651173000.0,4011666.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
VHT,Vanguard Health Care ETF,Health,22042636300.0,238458.0,dedup,同主题「医疗保健」，代表为 XLV State Street Health Care Select,医疗保健
VIS,Vanguard Industrials ETF,Industrials,8561797600.0,109079.0,dedup,同主题「工业」，代表为 XLI State Street Industrial Select ,工业
VNQ,Vanguard Real Estate ETF,Real Estate,70822863000.0,3218987.0,dedup,同主题「房地产REIT」，代表为 IYR iShares U.S. Real Estate ETF,房地产REIT
VOX,Vanguard Communication Services,Communications,5934089200.0,315204.0,dedup,同主题「通信服务」，代表为 XLC State Street Communication Serv,通信服务
VPU,Vanguard Utilities ETF,Utilities,10076388400.0,275430.0,dedup,同主题「公用事业」，代表为 XLU State Street Utilities Select S,公用事业
WCBR,WisdomTree Cybersecurity Fund,Technology,137343280.0,61955.0,illiquid,规模 1.37 亿美元 ≤ 2 亿,
WCLD,WisdomTree Cloud Computing Fund,Technology,366981408.0,822592.0,dedup,同主题「云计算」，代表为 SKYY First Trust Cloud Computing ETF,云计算
WDEF,WisdomTree Europe Defense Fund,Industrials,98841016.0,32609.0,illiquid,规模 0.99 亿美元 ≤ 2 亿,
