month,trading_days,adv_hkd,close_avg,close_end,adv_yi_hkd
2024-01,22,96592964655.86363,15971.784090454545,15485.07031,965.93
2024-02,19,89965313164.89473,16182.422029473684,16511.43945,899.65
2024-03,20,111160898426.5,16600.6750485,16541.41992,1111.61
2024-04,20,112250226366.2,16879.8077635,17763.03125,1122.5
2024-05,21,139776734394.0,18792.399461904763,18079.60938,1397.77
2024-06,19,111202549383.52632,18134.524876842108,17718.60938,1112.03
2024-07,22,98586501110.95454,17587.64115909091,17344.59961,985.87
2024-08,22,95508552317.68182,17330.020864090908,17989.07031,955.09
2024-09,19,169166010464.94736,18200.818153684213,21133.67969,1691.66
2024-10,21,254941113851.85715,20981.306083333333,20317.33008,2549.41
2024-11,21,161448353244.85715,19892.404576666668,19423.60938,1614.48
2024-12,20,141873536538.75,19936.052441,20059.95117,1418.74
2025-01,19,143762613225.3158,19610.11461736842,20225.11133,1437.63
2025-02,20,297229562383.0,22207.713965,22941.32031,2972.3
2025-03,21,280167057491.7619,23769.375836666666,23119.58008,2801.67
2025-04,19,274664037638.1579,21580.88569105263,22119.41016,2746.64
2025-05,20,210266510527.3,23268.6425785,23289.76953,2102.67
2025-06,21,230051698164.14285,23914.575334761903,24072.2793,2300.52
2025-07,22,262729893513.77274,24667.908736363635,24773.33008,2627.3
2025-08,21,278905878435.7143,25134.137277619047,25077.61914,2789.06
2025-09,22,316524048282.5455,26144.42320818182,26855.55859,3165.24
2025-10,20,274621283480.15,26220.034082,25906.65039,2746.21
2025-11,20,230522413358.65,26161.6045905,25858.88867,2305.22
2025-12,21,185878993364.09525,25723.554038571427,25630.54102,1858.79
2026-01,21,258601255210.09525,26788.193999523806,27387.11133,2586.01
2026-02,17,246642181134.7647,26796.94175117647,26630.54102,2466.42
2026-03,22,303821237372.5909,25420.03524590909,24788.14063,3038.21
2026-04,19,253377254140.8421,25914.918996315788,25776.5293,2533.77
2026-05,15,270934515118.4,26055.994661999997,25606.03125,2709.35
