month,trading_days,adv_hkd,close_avg,close_end,adv_yi_hkd
2024-08,22,39554434314.181816,6108.1973100000005,6331.14014,395.54
2024-09,19,72627862093.73685,6393.382634736842,7509.79053,726.28
2024-10,21,100741385790.5238,7522.641556190477,7264.11035,1007.41
2024-11,21,62944190715.666664,7141.429967619048,6946.68018,629.44
2024-12,20,57123708764.75,7194.4094,7289.88965,571.24
2025-01,19,63551166619.42105,7122.531019999999,7382.1294,635.51
2025-02,20,139180165527.95,8178.224634,8417.43066,1391.8
2025-03,21,122121008686.5238,8754.050874285715,8516.55078,1221.21
2025-04,19,116792967455.0,7960.099481578947,8076.25977,1167.93
2025-05,20,83247251749.35,8452.786524,8432.01953,832.47
2025-06,21,82899634031.28572,8666.067196666667,8678.29981,829.0
2025-07,22,84595922927.18182,8889.686480454546,8882.9502,845.96
2025-08,21,90280455645.04762,8998.627558571428,8947.79004,902.8
2025-09,22,117570152090.68182,9306.788619545456,9555.33008,1175.7
2025-10,20,100676737911.6,9348.7350585,9168.58008,1006.77
2025-11,20,87286891364.1,9253.5999015,9130.17969,872.87
2025-12,21,71391657311.28572,8976.383743333334,8913.67969,713.92
2026-01,21,95623475803.0,9214.20513857143,9317.08984,956.23
2026-02,17,87727962584.0,9066.89407117647,8859.48926,877.28
2026-03,22,105100181266.22728,8590.777743181818,8374.29981,1051.0
2026-04,19,83030415822.21053,8720.48206263158,8681.83008,830.3
2026-05,15,90794313022.33333,8745.069401333334,8550.87012,907.94
