序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
334,中船系,20,1877.8,1.43%,31.18,36.43,-5.25
335,特钢概念,43,2932.89,1.41%,17.44,20.42,-2.98
336,俄乌冲突概念,75,1485.98,1.35%,101.5,114.76,-13.26
337,旅游概念,151,2727.83,1.34%,96.39,112.37,-15.98
338,手机游戏,56,2724.66,1.27%,44.39,53.51,-9.13
339,赛马概念,4,1076.14,1.25%,1.48,1.4,0.08
340,乡村振兴,438,1136.49,1.24%,318.45,363.26,-44.81
341,央企国企改革,788,3076.48,1.21%,484.53,545.35,-60.82
342,雅下水电概念,89,1247.6,1.15%,66.33,86.38,-20.06
343,水泥概念,46,1177.22,1.12%,17.08,18.52,-1.45
344,PPP概念,200,913.79,0.93%,79.69,87.79,-8.1
345,玉米,34,2670.0,0.84%,52.57,54.17,-1.6
346,参股保险,96,1388.44,0.83%,31.1,35.07,-3.97
347,土地流转,44,2022.8,0.80%,37.27,41.9,-4.63
348,金属铅,38,1922.36,0.73%,70.17,74.2,-4.04
349,生物质能发电,65,1049.71,0.72%,26.11,27.89,-1.78
350,中字头股票,134,1772.71,0.71%,223.4,256.89,-33.48
351,同花顺漂亮100,100,799.5,0.70%,407.77,448.89,-41.12
352,农业种植,96,2522.16,0.59%,78.44,84.62,-6.18
353,新疆振兴,156,990.87,0.56%,96.29,100.86,-4.57
354,预制菜,101,1047.52,0.48%,53.99,56.36,-2.37
355,煤炭概念,89,2348.01,0.41%,84.92,100.58,-15.66
356,高股息精选,285,1490.56,0.41%,268.31,269.07,-0.76
357,煤化工概念,115,2446.76,0.39%,102.85,124.56,-21.71
358,金属锌,43,2141.94,0.38%,66.8,72.47,-5.67
359,金属铜,93,1787.44,0.37%,130.38,138.95,-8.57
360,黄金概念,83,3688.23,0.31%,131.95,141.11,-9.16
361,抽水蓄能,82,1528.56,0.31%,98.15,108.54,-10.39
362,信托概念,23,1147.8,0.27%,14.99,13.74,1.25
363,ST板块,204,503.04,0.22%,43.08,49.94,-6.86
364,乳业,35,2036.41,0.21%,25.48,23.15,2.34
365,化肥,75,1010.64,0.19%,60.06,71.59,-11.53
366,转基因,21,1947.15,0.18%,29.9,30.25,-0.34
367,页岩气,50,2665.45,0.11%,42.69,52.38,-9.69
368,国产航母,36,2014.51,0.10%,60.34,74.69,-14.35
369,超超临界发电,87,1586.29,0.10%,66.44,80.89,-14.45
370,自由贸易港,47,972.81,0.09%,21.72,24.51,-2.8
371,海南自贸区,30,1503.59,0.05%,29.06,34.07,-5.01
372,同花顺中特估100,100,1173.51,-0.02%,280.26,305.44,-25.18
373,代糖概念,25,943.16,-0.08%,21.88,23.61,-1.72
374,同花顺出海50,50,1802.48,-0.11%,321.05,359.36,-38.31
375,草甘膦,19,1481.1,-0.42%,14.55,16.21,-1.66
376,供销社,15,1127.93,-0.57%,13.03,11.91,1.12
377,粮食概念,49,934.56,-0.66%,69.17,73.57,-4.41
378,生态农业,66,1637.09,-0.72%,48.04,50.55,-2.51
379,农村电商,37,1764.17,-0.80%,28.12,28.28,-0.16
380,啤酒概念,29,1474.91,-0.84%,17.34,19.51,-2.17
381,证金持股,33,1121.58,-1.10%,92.24,99.59,-7.35
382,大豆,14,1727.36,-1.17%,12.29,15.32,-3.03
383,免税店,26,919.86,-1.33%,21.47,22.89,-1.43
384,可燃冰,14,1515.11,-1.37%,8.38,11.39,-3.02
385,养鸡,22,1201.18,-1.78%,10.25,11.43,-1.18
386,猪肉,32,2449.49,-1.86%,21.4,24.98,-3.58
387,兵装重组概念,14,1147.86,-4.67%,10.2,14.01,-3.81
