代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正,RS5,RS20,RS60,板块,板块5日资金净额_亿,板块当日广度_%,板块当日涨跌_%
sh512880,证券ETF国泰,2026-09-18,1.057,-0.09,-0.56,-4.52,19.2,-18.19,1.0806,1.0993,空头排列,0.5,1760338951.75,2458,0,35.9,59.0,39.3,证券,-10.91,100.0,1.41
sh520600,港股通汽车ETF广发,2026-09-18,0.95,-0.11,-10.21,-2.56,3.7,-32.91,0.9858,1.0227,空头排列,0.63,106196141.25,419,0,35.0,1.7,43.6,,,,
sh512000,券商ETF华宝,2026-09-18,0.505,-0.2,-0.59,-4.54,20.0,-18.15,0.5167,0.5254,空头排列,0.61,965457221.85,2431,1,34.2,58.1,38.5,证券,-10.91,100.0,1.41
sh512690,酒ETF鹏华,2026-09-18,0.411,-0.24,-1.91,5.93,11.4,-34.55,0.4203,0.4209,空头排列,0.35,369935847.75,1793,2,33.3,46.2,64.1,白酒,-3.63,94.7,2.5
sz159870,化工ETF鹏华,2026-09-18,0.771,-0.26,-4.93,-9.93,29.8,-21.41,0.7972,0.8013,空头排列,0.49,363196148.25,1349,0,32.5,26.5,29.9,化学制品,-0.42,91.6,2.47
sh560710,船舶ETF富国,2026-09-18,0.973,-0.31,8.35,12.88,47.0,-15.24,0.9387,0.8995,多头排列,1.28,76939980.9,150,0,31.6,100.0,83.8,,,,
sz159792,港股通互联网ETF富国,2026-09-18,0.54,-0.37,-8.63,5.68,5.2,-49.53,0.5585,0.5813,空头排列,0.46,1312075206.35,1207,0,30.8,5.1,62.4,,,,
sz159745,建材ETF国泰,2026-09-18,0.519,-0.57,-1.7,-5.81,3.6,-31.44,0.5318,0.5337,空头排列,0.65,42018762.3,1277,0,29.9,48.7,37.2,建筑材料,0.24,91.7,2.25
sh513750,港股通非银ETF广发,2026-09-18,1.512,-0.59,-0.33,8.7,23.8,-20.42,1.5412,1.5125,均线纠缠偏空,0.43,504758510.65,684,0,29.1,61.5,74.4,,,,
sh512660,军工ETF国泰,2026-09-18,1.16,-0.6,4.79,-6.53,16.7,-31.03,1.1411,1.1508,均线纠缠偏多,0.73,303701359.45,2458,0,28.2,95.7,33.3,军工装备,-35.19,88.8,1.95
sh515210,钢铁ETF国泰,2026-09-18,1.138,-0.7,-1.98,0.0,5.9,-32.1,1.1667,1.1584,均线纠缠偏空,0.57,75278160.35,1593,0,27.4,45.3,50.0,钢铁,-4.21,90.5,1.42
sh513090,香港证券ETF易方达,2026-09-18,1.799,-0.83,-1.53,3.21,16.1,-23.32,1.8495,1.8366,均线纠缠偏空,0.44,3341413001.1,1575,0,26.5,49.6,58.1,,,,
sh512980,传媒ETF广发,2026-09-18,0.815,-0.85,0.74,2.0,12.4,-38.35,0.8253,0.8225,均线纠缠偏空,0.55,280274886.35,2103,0,25.6,75.6,56.4,文化传媒,-11.79,86.7,1.81
sh513330,恒生互联网ETF华夏,2026-09-18,0.346,-0.86,-9.9,3.28,3.9,-44.1,0.3602,0.3769,空头排列,0.61,1104733160.9,1361,0,24.8,2.6,59.8,,,,
sh512070,证券保险ETF易方达,2026-09-18,0.781,-0.89,0.39,1.3,15.5,-21.43,0.7987,0.7985,均线纠缠偏空,0.47,436106608.35,2704,1,23.9,67.9,54.7,,,,
sh560860,工业有色ETF万家,2026-09-18,1.548,-0.9,-5.09,-3.79,35.8,-28.7,1.6054,1.583,均线纠缠偏空,0.5,276476010.35,857,0,23.1,24.8,40.2,工业金属,-15.41,64.2,0.45
sz159928,消费ETF汇添富,2026-09-18,0.652,-0.91,-1.06,8.13,17.1,-26.74,0.6657,0.6617,均线纠缠偏空,0.52,251552191.55,3163,1,22.2,53.8,72.6,,,,
sz159625,绿色电力ETF嘉实,2026-09-18,1.211,-0.98,2.54,0.75,17.8,-15.2,1.2101,1.2109,均线纠缠偏多,0.82,33972301.6,1067,0,21.4,92.3,52.1,电力,-17.24,60.8,0.38
